Account,total_pnl,avg_daily_pnl,pnl_std,avg_win_rate,avg_trades_per_day,avg_trade_size_usd,size_segment,activity_segment,consistency_segment
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,15295.499025000001,695.2499556818183,875.068852261587,0.4739621103659821,66.13636363636364,5481.639990476245,Large Traders,Infrequent Traders,Consistent Traders
0x8170715b3b381dffb7062c0298972d4727a0a63b,-215231.585525,-3031.4307820422537,43263.57466219009,0.3528578747901131,51.478873239436616,2825.121712135312,Small Traders,Infrequent Traders,Consistent Traders
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,52553.547948,1347.5268704615385,6459.683048870561,0.14768673355629877,12.333333333333334,4944.931692718496,Large Traders,Infrequent Traders,Inconsistent Traders
0x8477e447846c758f5a675856001ea72298fd9cb5,43108.666259,289.3199077785235,3594.475532547747,0.3073201271155927,85.9261744966443,867.0510364489138,Small Traders,Frequent Traders,Inconsistent Traders
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,7445.820125529412,16022.499912254798,0.2152909848917228,176.88235294117646,12657.958003878717,Large Traders,Frequent Traders,Inconsistent Traders
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,96835.853619,2060.337311042553,2783.210363092454,0.2837330696554984,217.14893617021278,1331.6573591251065,Small Traders,Frequent Traders,Inconsistent Traders
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72900.115626,2082.8604464571426,7725.683520153727,0.43500595751674265,11.8,2113.0477659243757,Small Traders,Infrequent Traders,Consistent Traders
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,4523.0413020666665,8542.120511787452,0.29853655922621436,37.53333333333333,2959.4760618012087,Small Traders,Infrequent Traders,Inconsistent Traders
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,14601.148174,912.571760875,1975.204374729902,0.34032164902998235,30.125,10950.762971327225,Large Traders,Infrequent Traders,Inconsistent Traders
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1742073.162996,8178.747244112676,42199.45730663646,0.29691234381832426,52.93896713615023,4691.193963792473,Small Traders,Infrequent Traders,Inconsistent Traders
0xb899e522b5715391ae1d4f137653e7906c5e2115,18470.551893,636.9155825172413,13610.621464884076,0.4527066091727725,156.0,27697.451291023608,Large Traders,Frequent Traders,Consistent Traders
0xbaaaf6571ab7d571043ff1e313a9609a10637864,882795.026094,36783.12608725,80288.11316060844,0.3879484931115586,705.0833333333334,4122.112182150945,Small Traders,Frequent Traders,Consistent Traders
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,310821.61557100003,5358.993371913793,28017.650010420184,0.23886525529220598,38.41379310344828,10314.11532003312,Large Traders,Infrequent Traders,Inconsistent Traders
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,808963.870413,7704.417813457143,28449.30764896877,0.4054741172005686,305.15238095238095,1774.1975359075536,Small Traders,Frequent Traders,Consistent Traders
